customer_id,name,category,monthly_amount
C0001,Tanaka Shoten 1,7,5000
C0002,Sakura Sangyo 2,7,12919
C0003,Aoba Seisaku 3,7,20838
C0004,Fuji Denki 4,7,28757
C0005,Yamato Shoji 5,7,36676
C0006,Kita Kogyo 6,7,44595
C0007,Mori Shokuhin 7,7,52514
C0008,Tanaka Shoten 8,7,60433
C0009,Sakura Sangyo 9,7,68352
C0010,Aoba Seisaku 10,7,76271
C0011,Fuji Denki 11,7,84190
C0012,Yamato Shoji 12,7,92109
C0013,Kita Kogyo 13,7,100028
C0014,Mori Shokuhin 14,7,107947
C0015,Tanaka Shoten 15,7,115866
C0016,Sakura Sangyo 16,7,123785
C0017,Aoba Seisaku 17,7,131704
C0018,Fuji Denki 18,7,139623
C0019,Yamato Shoji 19,7,147542
C0020,Kita Kogyo 20,7,155461
C0021,Mori Shokuhin 21,7,163380
C0022,Tanaka Shoten 22,7,171299
C0023,Sakura Sangyo 23,7,179218
C0024,Aoba Seisaku 24,7,187137
C0025,Fuji Denki 25,7,195056
C0026,Yamato Shoji 26,7,202975
C0027,Kita Kogyo 27,7,210894
C0028,Mori Shokuhin 28,7,218813
C0029,Tanaka Shoten 29,7,226732
C0030,Sakura Sangyo 30,7,234651
C0031,Aoba Seisaku 31,7,242570
C0032,Fuji Denki 32,7,250489
C0033,Yamato Shoji 33,7,258408
C0034,Kita Kogyo 34,7,266327
C0035,Mori Shokuhin 35,7,274246
C0036,Tanaka Shoten 36,7,282165
C0037,Sakura Sangyo 37,7,290084
C0038,Aoba Seisaku 38,7,298003
C0039,Fuji Denki 39,7,305922
C0040,Yamato Shoji 40,7,313841
C0041,Kita Kogyo 41,7,321760
C0042,Mori Shokuhin 42,7,329679
C0043,Tanaka Shoten 43,7,337598
C0044,Sakura Sangyo 44,7,345517
C0045,Aoba Seisaku 45,7,353436
C0046,Fuji Denki 46,7,361355
C0047,Yamato Shoji 47,7,369274
C0048,Kita Kogyo 48,7,377193
C0049,Mori Shokuhin 49,7,385112
C0050,Tanaka Shoten 50,7,393031
C0051,Sakura Sangyo 51,7,400950
C0052,Aoba Seisaku 52,7,408869
C0053,Fuji Denki 53,7,416788
C0054,Yamato Shoji 54,7,424707
C0055,Kita Kogyo 55,7,432626
C0056,Mori Shokuhin 56,7,440545
C0057,Tanaka Shoten 57,7,448464
C0058,Sakura Sangyo 58,7,456383
C0059,Aoba Seisaku 59,7,464302
C0060,Fuji Denki 60,7,472221
C0061,Yamato Shoji 61,7,480140
C0062,Kita Kogyo 62,7,488059
C0063,Mori Shokuhin 63,7,495978
C0064,Tanaka Shoten 64,7,503897
C0065,Sakura Sangyo 65,7,511816
C0066,Aoba Seisaku 66,7,519735
C0067,Fuji Denki 67,7,527654
C0068,Yamato Shoji 68,7,535573
C0069,Kita Kogyo 69,7,543492
C0070,Mori Shokuhin 70,7,551411
C0071,Tanaka Shoten 71,7,559330
C0072,Sakura Sangyo 72,7,567249
C0073,Aoba Seisaku 73,7,575168
C0074,Fuji Denki 74,7,583087
C0075,Yamato Shoji 75,7,591006
C0076,Kita Kogyo 76,7,598925
C0077,Mori Shokuhin 77,7,606844
C0078,Tanaka Shoten 78,7,614763
C0079,Sakura Sangyo 79,7,622682
C0080,Aoba Seisaku 80,7,630601
C0081,Fuji Denki 81,7,638520
C0082,Yamato Shoji 82,7,646439
C0083,Kita Kogyo 83,7,654358
C0084,Mori Shokuhin 84,7,662277
C0085,Tanaka Shoten 85,7,670196
C0086,Sakura Sangyo 86,7,678115
C0087,Aoba Seisaku 87,7,686034
C0088,Fuji Denki 88,7,693953
C0089,Yamato Shoji 89,7,701872
C0090,Kita Kogyo 90,7,709791
C0091,Mori Shokuhin 91,7,717710
C0092,Tanaka Shoten 92,7,725629
C0093,Sakura Sangyo 93,7,733548
C0094,Aoba Seisaku 94,7,741467
C0095,Fuji Denki 95,7,749386
C0096,Yamato Shoji 96,7,757305
C0097,Kita Kogyo 97,7,765224
C0098,Mori Shokuhin 98,7,773143
C0099,Tanaka Shoten 99,7,781062
C0100,Sakura Sangyo 100,7,788981
C0101,Aoba Seisaku 101,7,796900
C0102,Fuji Denki 102,7,804819
C0103,Yamato Shoji 103,7,812738
C0104,Kita Kogyo 104,7,820657
C0105,Mori Shokuhin 105,7,828576
C0106,Tanaka Shoten 106,7,836495
C0107,Sakura Sangyo 107,7,844414
C0108,Aoba Seisaku 108,7,852333
C0109,Fuji Denki 109,7,860252
C0110,Yamato Shoji 110,7,868171
C0111,Kita Kogyo 111,7,876090
C0112,Mori Shokuhin 112,7,884009
C0113,Tanaka Shoten 113,7,891928
C0114,Sakura Sangyo 114,7,899847
C0115,Aoba Seisaku 115,7,12765
C0116,Fuji Denki 116,7,20684
C0117,Yamato Shoji 117,7,28603
C0118,Kita Kogyo 118,7,36522
C0119,Mori Shokuhin 119,7,44441
C0120,Tanaka Shoten 120,7,52360
C0121,Sakura Sangyo 121,7,60279
C0122,Aoba Seisaku 122,7,68198
C0123,Fuji Denki 123,7,76117
C0124,Yamato Shoji 124,7,84036
C0125,Kita Kogyo 125,7,91955
C0126,Mori Shokuhin 126,7,99874
C0127,Tanaka Shoten 127,7,107793
